"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 11 16:28:29 GMT 2020","Fri Dec 11 16:28:29 GMT 2020","190","","Login and logout user","","io.swagger.petstore.tests.LoginTest","testCanLoginUser","Login user",""
"passed","Fri Dec 11 16:28:29 GMT 2020","Fri Dec 11 16:28:29 GMT 2020","125","","Logout user","","io.swagger.petstore.tests.LoginTest$LogoutUser","testCanLogoutUser","Logout user",""
"passed","Fri Dec 11 16:28:29 GMT 2020","Fri Dec 11 16:28:29 GMT 2020","118","","Delete user","","io.swagger.petstore.tests.UserManagerTest$UpdateUser$GetUser$DeleteUser","testCanDeleteUser","Delete user by name",""
"passed","Fri Dec 11 16:28:27 GMT 2020","Fri Dec 11 16:28:28 GMT 2020","1488","","Update user","","io.swagger.petstore.tests.UserManagerTest$UpdateUser","testCanUpdateUser","Update user",""
"passed","Fri Dec 11 16:28:28 GMT 2020","Fri Dec 11 16:28:29 GMT 2020","458","","Get user","","io.swagger.petstore.tests.UserManagerTest$UpdateUser$GetUser","testCanGetUserByUsername","Get user by user name",""
"passed","Fri Dec 11 16:28:23 GMT 2020","Fri Dec 11 16:28:27 GMT 2020","3507","","User management tests","","io.swagger.petstore.tests.UserManagerTest","testCanRegisterUser","Register new user",""
